Element,Relevance,cycle,Pathway,pathway name,gene,key_gene,gene_name,energyRole,biogeoSubstrate,Metal,KO
Carbon,Biogeochemistry,Carbon fixation,3HB,3-hydroxypropionate bicycle,meh,,3-methylfumaryl-CoA hydratase [EC:4.2.1.153],,,,K09709
Carbon,Biogeochemistry,Carbon fixation,3HB,3-hydroxypropionate bicycle,"mch, mcd",,2-methylfumaryl-CoA hydratase [EC:4.2.1.148],,,,K14449
Carbon,Biogeochemistry,Carbon fixation,3HB,3-hydroxypropionate bicycle,mcr,,malonyl-CoA reductase / 3-hydroxypropionate dehydrogenase (NADP+) [EC:1.2.1.75 1.1.1.298],,,,K14468
Carbon,Biogeochemistry,Carbon fixation,3HB,3-hydroxypropionate bicycle,acuI,,acrylyl-CoA reductase (NADPH) / 3-hydroxypropionyl-CoA dehydratase / 3-hydroxypropionyl-CoA synthetase [EC:1.3.1.84 4.2.1.116 6.2.1.36],,,,K14469
Carbon,Biogeochemistry,Carbon fixation,3HB,3-hydroxypropionate bicycle,mct,,2-methylfumaryl-CoA isomerase [EC:5.4.1.3],,,,K14470
Carbon,Biogeochemistry,Carbon fixation,3HB,3-hydroxypropionate bicycle,smtA1,,succinyl-CoA:(S)-malate CoA-transferase subunit A [EC:2.8.3.22],,,,K14471
Carbon,Biogeochemistry,Carbon fixation,3HB,3-hydroxypropionate bicycle,smtB,,succinyl-CoA:(S)-malate CoA-transferase subunit B [EC:2.8.3.22],,,,K14472
Carbon,Biogeochemistry,Carbon fixation,3HB,3-hydroxypropionate bicycle,pccA,yes,propionyl-CoA carboxylase [EC:6.4.1.3 2.1.3.15],,,,K15052
Carbon,Biogeochemistry,Fermentation,Acetate,Mixed acid: acetate,poxB,,pyruvate dehydrogenase (quinone) [EC:1.2.5.1],D,Organic carbon,,K00156
Carbon,Biogeochemistry,Fermentation,Acetate,Mixed acid: acetate,poxL,,pyruvate oxidase [EC:1.2.3.3],D,Organic carbon,,K00158
Carbon,Biogeochemistry,Fermentation,Acetate,Mixed acid: acetate,lctO,,lactate 2-monooxygenase [EC:1.13.12.4],D,Organic carbon,,K00467
Carbon,Biogeochemistry,Fermentation,Acetate,Mixed acid: acetate,pta,,phosphate acetyltransferase [EC:2.3.1.8],,,,K00625
Carbon,Biogeochemistry,Fermentation,Acetate,Mixed acid: acetate,lctO,,lactate 2-monooxygenase [EC:1.13.12.4],D,Organic carbon,,K01067
Carbon,Biogeochemistry,Fermentation,Acetate,Mixed acid: acetate,acyP,,acylphosphatase [EC:3.6.1.7],,,,K01512
Carbon,Biogeochemistry,Fermentation,Acetate,Mixed acid: acetate,eutD,,phosphotransacetylase,,,,K04020
Carbon,Biogeochemistry,Fermentation,Acetate,Mixed acid: acetate,pta,,phosphate acetyltransferase,,,,K13788
Carbon,Biogeochemistry,Anaplerotic Reaction,Anaplerotic,Anaplerotic genes,"ME2, sfcA, maeA",,malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38],,,,K00027
Carbon,Biogeochemistry,Anaplerotic Reaction,Anaplerotic,Anaplerotic genes,dmlA,,malate dehydrogenase (decarboxylating) [EC:1.1.1.39],,,,K00028
Carbon,Biogeochemistry,Anaplerotic Reaction,Anaplerotic,Anaplerotic genes,maeB,,malate dehydrogenase (oxaloacetate-decarboxylating) (NADP+),,,,K00029
Carbon,Biogeochemistry,Anaplerotic Reaction,Anaplerotic,Anaplerotic genes,ppc,,phosphoenolpyruvate carboxylase,,,,K01595
Carbon,Biogeochemistry,Anaplerotic Reaction,Anaplerotic,Anaplerotic genes,pckA,,phosphoenolpyruvate carboxykinase (GTP),,,,K01596
Carbon,Biogeochemistry,Anaplerotic Reaction,Anaplerotic,Anaplerotic genes,pckA,,phosphoenolpyruvate carboxykinase (ATP),,,,K01610
Carbon,Biogeochemistry,Anaplerotic Reaction,Anaplerotic,Anaplerotic genes - Glyoxylate shunt,aceA,,isocitrate lyase,,,,K01637
Carbon,Biogeochemistry,Anaplerotic Reaction,Anaplerotic,Anaplerotic genes - Glyoxylate shunt,aceB,,malate synthase,,,,K01638
Carbon,Biogeochemistry,Anaplerotic Reaction,Anaplerotic,Anaplerotic genes,pyruvate carboxylase,,pyruvate carboxylase [EC:6.4.1.1],,,,K01958
Carbon,Biogeochemistry,Anaplerotic Reaction,Anaplerotic,Anaplerotic genes,pycA,,pyruvate carboxylase subunit A [EC:6.4.1.1],,,,K01959
Carbon,Biogeochemistry,Anaplerotic Reaction,Anaplerotic,Anaplerotic genes,pycB,,pyruvate carboxylase subunit B [EC:6.4.1.1],,,,K01960
Carbon,Biogeochemistry,Anaplerotic Reaction,Anaplerotic,Anaplerotic genes - Glyoxylate shunt,aceB,,bifunctional (S)-malyl-CoA lyase/thioesterase [EC:4.1.3.24 3.1.2.30],,,,K19282
Carbon,Biogeochemistry,Anaplerotic Reaction,Anaplerotic,Anaplerotic genes,PEPCK,,phosphoenolpyruvate carboxykinase (diphosphate),,,,K20370
Carbon,Biogeochemistry,Carbon fixation,CBB,Calvin-Benson-Bassham cycle,"GAPDH, gapA",,glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12],,,,K00134
Carbon,Biogeochemistry,Carbon fixation,CBB,Calvin-Benson-Bassham cycle,gap2,,glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) [EC:1.2.1.59],,,,K00150
Carbon,Biogeochemistry,Carbon fixation,CBB,Calvin-Benson-Bassham cycle,"tktA, tktB",,transketolase [EC:2.2.1.1],,,,K00615
Carbon,Biogeochemistry,Carbon fixation,CBB,Calvin-Benson-Bassham cycle,"PRK, prkB",yes,phosphoribulokinase [EC:2.7.1.19],,,,K00855
Carbon,Biogeochemistry,Carbon fixation,CBB,Calvin-Benson-Bassham cycle,"PGK, pgk",,phosphoglycerate kinase [EC:2.7.2.3],,,,K00927
Carbon,Biogeochemistry,Carbon fixation,CBB,Calvin-Benson-Bassham cycle,fbp-SEBP,,"fructose-1,6-bisphosphatase I / sedoheptulose-1,7-bisphosphatase [EC:3.1.3.11 3.1.3.37]",,,,K01086
Carbon,Biogeochemistry,Carbon fixation,CBB,Calvin-Benson-Bassham cycle,E3.1.3.37,,sedoheptulose-bisphosphatase [EC:3.1.3.37],,,,K01100
Carbon,Biogeochemistry,Carbon fixation,CBB,Calvin-Benson-Bassham cycle,rbcL,yes,ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39],,,,K01601
Carbon,Biogeochemistry,Carbon fixation,CBB,Calvin-Benson-Bassham cycle,rbcS,yes,ribulose-bisphosphate carboxylase small chain [EC:4.1.1.39],,,,K01602
Carbon,Biogeochemistry,Carbon fixation,CBB,Calvin-Benson-Bassham cycle,ALDO,,"fructose-bisphosphate aldolase, class I [EC:4.1.2.13]",,,,K01623
Carbon,Biogeochemistry,Carbon fixation,CBB,Calvin-Benson-Bassham cycle,"FBA, fbaA",,"fructose-bisphosphate aldolase, class II [EC:4.1.2.13]",,,,K01624
Carbon,Biogeochemistry,Carbon fixation,CBB,Calvin-Benson-Bassham cycle,rpiA,,ribose 5-phosphate isomerase A [EC:5.3.1.6],,,,K01807
Carbon,Biogeochemistry,Carbon fixation,CBB,Calvin-Benson-Bassham cycle,rpiB,,ribose 5-phosphate isomerase B [EC:5.3.1.6],,,,K01808
Carbon,Biogeochemistry,Carbon fixation,CBB,Calvin-Benson-Bassham cycle,glpX,,"fructose-1,6-bisphosphatase II [EC:3.1.3.11]",,,,K02446
Carbon,Biogeochemistry,Carbon fixation,CBB,Calvin-Benson-Bassham cycle,"FBP, fbp",,"fructose-1,6-bisphosphatase I [EC:3.1.3.11]",,,,K03841
Carbon,Biogeochemistry,Carbon fixation,CBB,Calvin-Benson-Bassham cycle,GAPA,,glyceraldehyde-3-phosphate dehydrogenase (NADP+) (phosphorylating) [EC:1.2.1.13],,,,K05298
Carbon,Biogeochemistry,Carbon fixation,CBB,Calvin-Benson-Bassham cycle,glpX-SEBP,,"fructose-1,6-bisphosphatase II / sedoheptulose-1,7-bisphosphatase [EC:3.1.3.11 3.1.3.37]",,,,K11532
Carbon,Biogeochemistry,Carbon fixation,DHB,Dicarboxylate-hydroxybutyrate cycle,mdh,,malate dehydrogenase [EC:1.1.1.37],,,,K00024
Carbon,Biogeochemistry,Carbon fixation,DHB,Dicarboxylate-hydroxybutyrate cycle,porA,,pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1],,,,K00169
Carbon,Biogeochemistry,Carbon fixation,DHB,Dicarboxylate-hydroxybutyrate cycle,porB,,pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1],,,,K00170
Carbon,Biogeochemistry,Carbon fixation,DHB,Dicarboxylate-hydroxybutyrate cycle,porD,,pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1],,,,K00171
Carbon,Biogeochemistry,Carbon fixation,DHB,Dicarboxylate-hydroxybutyrate cycle,porG,,pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1],,,,K00172
Carbon,Biogeochemistry,Carbon fixation,DHB,Dicarboxylate-hydroxybutyrate cycle,"sdhA, frdA",,"succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4]",,,,K00239
Carbon,Biogeochemistry,Carbon fixation,DHB,Dicarboxylate-hydroxybutyrate cycle,"sdhB, frdB",,"succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.1 1.3.5.4]",,,,K00240
Carbon,Biogeochemistry,Carbon fixation,DHB,Dicarboxylate-hydroxybutyrate cycle,"sdhC, frdC",,"succinate dehydrogenase / fumarate reductase, cytochrome b subunit",,,,K00241
Carbon,Biogeochemistry,Carbon fixation,DHB,Dicarboxylate-hydroxybutyrate cycle,atoB,,acetyl-CoA C-acetyltransferase [EC:2.3.1.9],,,,K00626
Carbon,Biogeochemistry,Carbon fixation,DHB,Dicarboxylate-hydroxybutyrate cycle,"pps, ppsA",,"pyruvate, water dikinase [EC:2.7.9.2]",,,,K01007
Carbon,Biogeochemistry,Carbon fixation,DHB,Dicarboxylate-hydroxybutyrate cycle,ppc,,phosphoenolpyruvate carboxylase [EC:4.1.1.31],,,,K01595
Carbon,Biogeochemistry,Carbon fixation,DHB,Dicarboxylate-hydroxybutyrate cycle,"fumA, fumB",,"fumarate hydratase, class I [EC:4.2.1.2]",,,,K01676
Carbon,Biogeochemistry,Carbon fixation,DHB,Dicarboxylate-hydroxybutyrate cycle,fumA,,fumarate hydratase subunit alpha [EC:4.2.1.2],,,,K01677
Carbon,Biogeochemistry,Carbon fixation,DHB,Dicarboxylate-hydroxybutyrate cycle,fumB,,fumarate hydratase subunit beta [EC:4.2.1.2],,,,K01678
Carbon,Biogeochemistry,Carbon fixation,DHB,Dicarboxylate-hydroxybutyrate cycle,sucD,,succinyl-CoA synthetase alpha subunit [EC:6.2.1.5],,,,K01902
Carbon,Biogeochemistry,Carbon fixation,DHB,Dicarboxylate-hydroxybutyrate cycle,sucC,,succinyl-CoA synthetase beta subunit [EC:6.2.1.5],,,,K01903
Carbon,Biogeochemistry,Carbon fixation,DHB,Dicarboxylate-hydroxybutyrate cycle,mcr,,succinate semialdehyde reductase (NADPH) [EC:1.1.1.-],,,,K14465
Carbon,Biogeochemistry,Carbon fixation,DHB,Dicarboxylate-hydroxybutyrate cycle,4hbl,,4-hydroxybutyrate---CoA ligase (AMP-forming) [EC:6.2.1.40],,,,K14467
Carbon,Biogeochemistry,Carbon fixation,DHB,Dicarboxylate-hydroxybutyrate cycle,abfD,,4-hydroxybutyryl-CoA dehydratase / vinylacetyl-CoA-Delta-isomerase [EC:4.2.1.120 5.3.3.3],,,,K14534
Carbon,Biogeochemistry,Carbon fixation,DHB,Dicarboxylate-hydroxybutyrate cycle,paaF,,enoyl-CoA hydratase / 3-hydroxyacyl-CoA dehydrogenase [EC:4.2.1.17 1.1.1.35],,,,K15016
Carbon,Biogeochemistry,Carbon fixation,DHB,Dicarboxylate-hydroxybutyrate cycle,mcr,,malonyl-CoA/succinyl-CoA reductase (NADPH) [EC:1.2.1.75 1.2.1.76],,,,K15017
Carbon,Biogeochemistry,Carbon fixation,DHB,Dicarboxylate-hydroxybutyrate cycle,mcr,,succinyl-CoA reductase [EC:1.2.1.76],,,,K15038
Carbon,Biogeochemistry,Carbon fixation,DHB,Dicarboxylate-hydroxybutyrate cycle,"sdhD, frdD",,"putative succinate dehydrogenase / fumarate reductase, subunit D",,,,K18860
Carbon,Biogeochemistry,Carbon fixation,DHB,Dicarboxylate-hydroxybutyrate cycle,4hbl,,4-hydroxybutyrate---CoA ligase (AMP-forming) [EC:6.2.1.40],,,,K18861
Carbon,Biogeochemistry,Fermentation,Ethanol,"Mixed acid: ethanol, acetylaldehyde to ethanol",adh,,alcohol dehydrogenase,,,,K00001
Carbon,Biogeochemistry,Fermentation,Ethanol,"Mixed acid: ethanol, acetylaldehyde to ethanol",adh,,alcohol dehydrogenase (NADP+),,,,K00002
Carbon,Biogeochemistry,Fermentation,Ethanol,"Mixed acid: ethanol, acetylaldehyde to ethanol",exaA,,alcohol dehydrogenase (cytochrome c),,,,K00114
Carbon,Biogeochemistry,Fermentation,Ethanol,"Mixed acid: ethanol, acetylaldehyde to ethanol",adh,,alcohol dehydrogenase,,,,K00121
Carbon,Biogeochemistry,Fermentation,Ethanol,"Mixed acid: ethanol, acetate to acetylaldehyde",puuC,,aldehyde dehydrogenase (NAD+),,,,K00128
Carbon,Biogeochemistry,Fermentation,Ethanol,"Mixed acid: ethanol, acetate to acetylaldehyde",puuC,,aldehyde dehydrogenase (NAD(P)+),,,,K00129
Carbon,Biogeochemistry,Fermentation,Ethanol,"Mixed acid: ethanol, Acetyl-CoA to acetylaldehyde (reversible)",dmpF,,acetaldehyde dehydrogenase (acetylating) [EC:1.2.1.10],D,Organic carbon,,K00132
Carbon,Biogeochemistry,Fermentation,Ethanol,"Mixed acid: ethanol, acetate to acetylaldehyde",aldB,,aldehyde dehydrogenase,,,,K00138
Carbon,Biogeochemistry,Fermentation,Ethanol,"Mixed acid: ethanol, acetate to acetylaldehyde",puuC,,aldehyde dehydrogenase (NAD+),,,,K00149
Carbon,Biogeochemistry,Fermentation,Ethanol,"Mixed acid: ethanol, Acetyl-CoA to acetylaldehyde (reversible)",puuC,,aldehyde dehydrogenase,,,,K04021
Carbon,Biogeochemistry,Fermentation,Ethanol,"Mixed acid: ethanol, acetylaldehyde to ethanol",eutG,,alcohol dehydrogenase,,,,K04022
Carbon,Biogeochemistry,Fermentation,Ethanol,"Mixed acid: ethanol, Acetyl-CoA to acetylaldehyde (reversible)",adhE,,acetaldehyde dehydrogenase / alcohol dehydrogenase [EC:1.2.1.10 1.1.1.1],D,Organic carbon,,K04072
Carbon,Biogeochemistry,Fermentation,Ethanol,"Mixed acid: ethanol, acetylaldehyde to ethanol",adh,,alcohol dehydrogenase,,,,K04072
Carbon,Biogeochemistry,Fermentation,Ethanol,"Mixed acid: ethanol, Acetyl-CoA to acetylaldehyde (reversible)",dmpF,,acetaldehyde dehydrogenase [EC:1.2.1.10],D,Organic carbon,,K04073
Carbon,Biogeochemistry,Fermentation,Ethanol,"Mixed acid: ethanol, acetylaldehyde to ethanol",adh,,alcohol dehydrogenase,,,,K13951
Carbon,Biogeochemistry,Fermentation,Ethanol,"Mixed acid: ethanol, acetylaldehyde to ethanol",adh,,alcohol dehydrogenase,,,,K13952
Carbon,Biogeochemistry,Fermentation,Ethanol,"Mixed acid: ethanol, acetylaldehyde to ethanol",adh,,alcohol dehydrogenase,,,,K13953
Carbon,Biogeochemistry,Fermentation,Ethanol,"Mixed acid: ethanol, acetylaldehyde to ethanol",adh,,alcohol dehydrogenase,,,,K13954
Carbon,Biogeochemistry,Fermentation,Ethanol,"Mixed acid: ethanol, acetylaldehyde to ethanol",adh,,alcohol dehydrogenase,,,,K13980
Carbon,Biogeochemistry,Fermentation,Ethanol,"Mixed acid: ethanol, acetylaldehyde to ethanol","mdh1, mxaF",,methanol dehydrogenase (cytochrome c) subunit 1 [EC:1.1.2.7],D,Organic carbon,,K14028
Carbon,Biogeochemistry,Fermentation,Ethanol,"Mixed acid: ethanol, acetylaldehyde to ethanol","mdh2, mxaI",,methanol dehydrogenase (cytochrome c) subunit 2 [EC:1.1.2.7],D,Organic carbon,,K14029
Carbon,Biogeochemistry,Fermentation,Ethanol,"Mixed acid: ethanol, acetate to acetylaldehyde",puuC,,aldehyde dehydrogenase (NAD+),,,,K14085
Carbon,Biogeochemistry,Fermentation,Ethanol,"Mixed acid: ethanol, Acetyl-CoA to acetylaldehyde (reversible)",hsaG,,acetaldehyde/propanal dehydrogenase [EC:1.2.1.10 1.2.1.87],D,Organic carbon,,K18366
Carbon,Biogeochemistry,Fermentation,Ethanol,"Mixed acid: ethanol, acetylaldehyde to ethanol",adh,,alcohol dehydrogenase,,,,K18857
Carbon,Biogeochemistry,Fermentation,Formate,Mixed acid: formate to CO2 & H2,FDH,,formate dehydrogenase [EC:1.17.1.9],D,Formate,,K00122
Carbon,Biogeochemistry,Fermentation,Formate,Mixed acid: formate to CO2 & H2,"fdoG, fdhF, fdwA",,formate dehydrogenase major subunit [EC:1.17.1.9],D,Formate,,K00123
Carbon,Biogeochemistry,Fermentation,Formate,Mixed acid: formate to CO2 & H2,"fdoH, fdsB",,formate dehydrogenase iron-sulfur subunit,D,Formate,,K00124
Carbon,Biogeochemistry,Fermentation,Formate,Mixed acid: formate to CO2 & H2,fdhB,,formate dehydrogenase (coenzyme F420) beta subunit [EC:1.17.98.3 1.8.98.6],D,Formate,,K00125
Carbon,Biogeochemistry,Fermentation,Formate,Mixed acid: formate to CO2 & H2,fdsD,,formate dehydrogenase subunit delta [EC:1.17.1.9],D,Formate,,K00126
Carbon,Biogeochemistry,Fermentation,Formate,Mixed acid: formate to CO2 & H2,"fdoI, fdsG",,formate dehydrogenase subunit gamma,D,Formate,,K00127
Carbon,Biogeochemistry,Fermentation,Formate,Mixed acid: formate to CO2 & H2,fdwB,,formate dehydrogenase beta subunit [EC:1.17.1.9],D,Formate,,K22515
Carbon,Biogeochemistry,Fermentation,Formate,Mixed acid: formate to CO2 & H2,fdhA,,formate dehydrogenase (coenzyme F420) alpha subunit [EC:1.17.98.3 1.8.98.6],D,Formate,,K22516
Carbon,Biogeochemistry,Fermentation,Formate,Mixed acid: formate,pflD,,formate C-acetyltransferase [EC:2.3.1.54],,,,K00656
Carbon,Biogeochemistry,Carbon fixation - Gluc,Gluconeogenesys,"Gluconeogenesis, oxaloacetate => fructose-6P","GAPDH, gapA",,glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12],,,,K00134
Carbon,Biogeochemistry,Carbon fixation - Gluc,Gluconeogenesys,"Gluconeogenesis, oxaloacetate => fructose-6P",gap2,,glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) [EC:1.2.1.59],,,,K00150
Carbon,Biogeochemistry,Carbon fixation - Gluc,Gluconeogenesys,"Gluconeogenesis, oxaloacetate => fructose-6P","PGK, pgk",,phosphoglycerate kinase [EC:2.7.2.3],,,,K00927
Carbon,Biogeochemistry,Carbon fixation - Gluc,Gluconeogenesys,"Gluconeogenesis, oxaloacetate => fructose-6P",fbp-SEBP,,"fructose-1,6-bisphosphatase I / sedoheptulose-1,7-bisphosphatase [EC:3.1.3.11 3.1.3.37]",,,,K01086
Carbon,Biogeochemistry,Carbon fixation - Gluc,Gluconeogenesys,"Gluconeogenesis, oxaloacetate => fructose-6P","pckA, PCK",,phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32],,,,K01596
Carbon,Biogeochemistry,Carbon fixation - Gluc,Gluconeogenesys,"Gluconeogenesis, oxaloacetate => fructose-6P",pckA,,phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49],,,,K01610
Carbon,Biogeochemistry,Carbon fixation - Gluc,Gluconeogenesys,"Gluconeogenesis, oxaloacetate => fructose-6P",fbp,,"fructose 1,6-bisphosphate aldolase/phosphatase [EC:4.1.2.13 3.1.3.11]",,,,K01622
Carbon,Biogeochemistry,Carbon fixation - Gluc,Gluconeogenesys,"Gluconeogenesis, oxaloacetate => fructose-6P",ALDO,,"fructose-bisphosphate aldolase, class I [EC:4.1.2.13]",,,,K01623
Carbon,Biogeochemistry,Carbon fixation - Gluc,Gluconeogenesys,"Gluconeogenesis, oxaloacetate => fructose-6P","FBA, fbaA",,"fructose-bisphosphate aldolase, class II [EC:4.1.2.13]",,,,K01624
Carbon,Biogeochemistry,Carbon fixation - Gluc,Gluconeogenesys,"Gluconeogenesis, oxaloacetate => fructose-6P","ENO, eno",,enolase [EC:4.2.1.11],,,,K01689
Carbon,Biogeochemistry,Carbon fixation - Gluc,Gluconeogenesys,"Gluconeogenesis, oxaloacetate => fructose-6P","TPI, tpiA",,triosephosphate isomerase (TIM) [EC:5.3.1.1],,,,K01803
Carbon,Biogeochemistry,Carbon fixation - Gluc,Gluconeogenesys,"Gluconeogenesis, oxaloacetate => fructose-6P","PGAM, gpmA",,"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]",,,,K01834
Carbon,Biogeochemistry,Carbon fixation - Gluc,Gluconeogenesys,"Gluconeogenesis, oxaloacetate => fructose-6P",glpX,,"fructose-1,6-bisphosphatase II [EC:3.1.3.11]",,,,K02446
Carbon,Biogeochemistry,Carbon fixation - Gluc,Gluconeogenesys,"Gluconeogenesis, oxaloacetate => fructose-6P","FBP, fbp",,"fructose-1,6-bisphosphatase I [EC:3.1.3.11]",,,,K03841
Carbon,Biogeochemistry,Carbon fixation - Gluc,Gluconeogenesys,"Gluconeogenesis, oxaloacetate => fructose-6P",fbp3,,"fructose-1,6-bisphosphatase III [EC:3.1.3.11]",,,,K04041
Carbon,Biogeochemistry,Carbon fixation - Gluc,Gluconeogenesys,"Gluconeogenesis, oxaloacetate => fructose-6P",glpX-SEBP,,"fructose-1,6-bisphosphatase II / sedoheptulose-1,7-bisphosphatase [EC:3.1.3.11 3.1.3.37]",,,,K11532
Carbon,Biogeochemistry,Carbon fixation - Gluc,Gluconeogenesys,"Gluconeogenesis, oxaloacetate => fructose-6P",fbaB,,"fructose-bisphosphate aldolase, class I [EC:4.1.2.13]",,,,K11645
Carbon,Biogeochemistry,Carbon fixation - Gluc,Gluconeogenesys,"Gluconeogenesis, oxaloacetate => fructose-6P",gpmI,,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]",,,,K15633
Carbon,Biogeochemistry,Carbon fixation - Gluc,Gluconeogenesys,"Gluconeogenesis, oxaloacetate => fructose-6P",gpmB,,probable phosphoglycerate mutase [EC:5.4.2.12],,,,K15634
Carbon,Biogeochemistry,Carbon fixation - Gluc,Gluconeogenesys,"Gluconeogenesis, oxaloacetate => fructose-6P",apgM,,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]",,,,K15635
Carbon,Biogeochemistry,Carbon fixation - Gluc,Gluconeogenesys-ED,"Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate","G6PD, zwf",,glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363],,,,K00036
Carbon,Biogeochemistry,Carbon fixation - Gluc,Gluconeogenesys-ED,"Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate","PGLS, pgl, devB",,6-phosphogluconolactonase [EC:3.1.1.31],,,,K01057
Carbon,Biogeochemistry,Carbon fixation - Gluc,Gluconeogenesys-ED,"Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate",eda,,2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2.14 4.1.3.42],,,,K01625
